carat,cut,color,clarity,depth,table,price,x,y,z
0.63,Fair,5,VS,65.7,60.0,2011,5.41,5.31,3.52
2.0,Fair,0,SI,66.4,55.0,11189,7.82,7.67,5.15
0.48,Fair,4,SI,56.4,59.0,994,5.28,5.26,2.97
2.04,Fair,1,SI,66.6,56.0,9802,7.8,7.77,5.19
0.71,Fair,0,SI,65.5,61.0,1409,5.54,5.49,3.61
1.7,Fair,2,SI,64.5,55.0,9682,7.58,7.52,4.87
1.0,Fair,2,VVS,65.1,57.0,4312,6.27,6.23,4.07
0.71,Fair,4,SI,60.1,68.0,2327,5.8,5.72,3.46
0.65,Fair,1,VS,65.1,55.6,1659,5.44,5.5,3.56
1.96,Fair,4,I1,66.6,60.0,5554,7.59,7.56,5.04
1.29,Fair,2,I1,67.7,62.0,2596,6.69,6.59,4.5
2.01,Fair,1,SI,66.9,58.0,10711,7.93,7.69,5.21
0.62,Fair,4,IF,60.1,61.0,2861,5.53,5.56,3.33
0.9,Fair,1,VS,65.4,60.0,3246,6.03,5.96,3.93
1.2,Fair,4,I1,65.7,56.0,2622,6.65,6.58,4.35
0.92,Fair,2,VS,56.0,60.0,3924,6.53,6.51,3.65
0.5,Fair,5,VS,65.0,58.0,1188,4.96,4.92,3.21
1.01,Fair,5,SI,64.6,59.0,3294,6.22,6.18,4.01
1.5,Fair,2,SI,65.0,57.0,6838,7.1,7.06,4.6
0.77,Fair,6,SI,65.1,63.0,1651,5.71,5.65,3.7
0.96,Fair,2,I1,66.9,60.0,1705,6.15,6.04,4.09
0.7,Fair,4,I1,63.9,59.0,945,5.64,5.5,3.57
1.03,Fair,2,SI,67.0,61.0,4038,6.25,6.17,4.16
0.9,Fair,3,I1,65.1,58.0,1939,6.05,5.99,3.92
1.7,Fair,4,SI,64.5,57.0,9996,7.55,7.51,4.86
0.7,Fair,4,I1,65.4,59.0,992,5.6,5.49,3.63
1.16,Fair,2,SI,66.3,57.0,4222,6.56,6.5,4.33
1.02,Fair,4,VVS,64.8,58.0,6863,6.22,6.28,4.05
1.01,Fair,5,I1,64.5,54.0,2036,6.31,6.22,4.03
1.16,Fair,2,SI,68.2,55.0,3118,6.47,6.37,4.38
0.5,Fair,4,I1,63.8,58.0,713,5.08,4.97,3.21
1.51,Fair,3,VS,64.9,55.0,11739,7.25,7.14,4.67
1.99,Fair,2,VS,60.5,63.0,17713,8.2,8.11,4.93
1.0,Fair,0,SI,56.3,64.0,3199,6.58,6.54,3.69
1.0,Fair,1,VS,64.0,49.0,3951,6.43,6.39,4.1
2.02,Fair,6,SI,65.0,55.0,16386,7.94,7.84,5.13
0.34,Fair,4,I1,55.8,62.0,2160,4.72,4.6,2.6
1.0,Fair,5,SI,69.0,56.0,3763,6.01,5.94,4.12
1.5,Fair,2,SI,65.9,56.0,7211,7.11,7.04,4.66
2.01,Fair,0,VS,64.9,60.0,13744,7.82,7.78,5.06
1.0,Fair,5,SI,64.6,54.0,3763,6.33,6.27,4.07
0.7,Fair,3,VS,66.5,57.0,2575,5.4,5.46,3.61
1.0,Fair,3,VS,64.5,58.0,5161,6.26,6.2,4.02
2.0,Fair,1,VS,58.5,68.0,11322,8.26,8.15,4.8
1.83,Fair,0,I1,70.0,58.0,5083,7.34,7.28,5.12
2.01,Fair,2,SI,66.7,56.0,10772,7.8,7.76,5.19
1.02,Fair,6,SI,65.5,60.0,4381,6.27,6.24,4.1
0.96,Fair,2,I1,60.1,62.0,1808,6.21,6.0,3.68
0.99,Fair,0,I1,62.9,58.0,1901,6.33,6.1,3.91
2.02,Fair,3,I1,68.0,55.0,6346,7.77,7.72,5.27
0.72,Fair,1,VVS,65.7,57.0,2131,5.56,5.64,3.68
1.24,Fair,3,SI,65.7,57.0,4058,6.72,6.68,4.4
1.47,Fair,2,I1,66.7,59.0,4898,6.98,6.94,4.64
0.72,Fair,5,VS,64.4,59.0,2691,5.67,5.64,3.64
0.32,Fair,6,VVS,62.4,61.0,875,4.38,4.44,2.75
0.8,Fair,3,SI,64.6,55.0,2318,5.86,5.75,3.75
0.52,Fair,5,VVS,57.2,64.0,2079,5.27,5.36,3.04
1.51,Fair,4,I1,67.8,59.0,3734,7.09,7.0,4.78
0.5,Fair,4,I1,67.1,57.0,627,4.92,4.87,3.28
1.21,Fair,3,SI,64.5,56.0,4637,6.69,6.62,4.29
1.0,Fair,3,SI,68.2,60.0,3833,6.02,5.94,4.08
0.53,Fair,5,SI,56.2,64.0,1286,5.43,5.41,3.05
1.13,Fair,1,VS,55.9,67.0,4695,7.05,6.94,3.9
0.9,Fair,6,VS,57.4,65.0,4277,6.26,6.29,3.6
0.7,Fair,6,SI,67.8,58.0,1770,5.51,5.44,3.71
0.7,Fair,5,SI,64.6,53.0,2092,5.58,5.63,3.62
0.85,Fair,2,I1,61.0,61.0,1324,6.2,6.0,3.73
1.5,Fair,1,I1,69.7,56.0,4704,6.94,6.9,4.82
1.09,Fair,4,SI,66.3,56.0,3170,6.47,6.39,4.27
0.51,Fair,3,SI,64.5,56.0,1160,5.06,5.01,3.25
2.5,Fair,3,SI,67.0,57.0,14194,8.36,8.29,5.58
1.52,Fair,2,SI,65.3,58.0,8001,7.14,7.1,4.65
1.01,Fair,0,VS,65.8,55.0,3190,6.29,6.24,4.12
0.7,Fair,2,VS,67.8,56.0,2351,5.42,5.38,3.66
1.4,Fair,4,VS,66.5,56.0,8216,6.83,6.76,4.52
1.55,Fair,4,SI,59.7,66.0,10217,7.59,7.47,4.49
0.7,Fair,2,SI,65.3,55.0,1865,5.58,5.54,3.63
1.29,Fair,3,I1,66.0,58.0,4277,6.82,6.75,4.48
0.5,Fair,5,SI,68.6,56.0,871,4.87,4.75,3.3
0.9,Fair,2,SI,64.4,59.0,2138,6.03,5.99,3.87
1.5,Good,3,I1,64.0,61.0,4731,7.15,7.04,0.0
0.9,Good,4,VS,63.3,59.0,4508,6.03,6.07,3.83
0.36,Good,5,SI,63.7,54.0,505,4.52,4.55,2.89
0.7,Good,5,VS,58.7,63.0,2912,5.69,5.73,3.35
1.0,Good,6,SI,63.9,56.0,3634,6.32,6.27,4.02
1.01,Good,4,VS,59.0,62.0,6794,6.56,6.6,3.88
1.52,Good,1,SI,64.0,58.0,9295,7.27,7.2,4.63
0.67,Good,4,VS,59.8,60.3,2479,5.62,5.69,3.38
0.7,Good,5,SI,57.8,62.0,2150,5.79,5.84,3.36
0.77,Good,3,VS,59.4,64.0,2788,5.97,5.92,3.53
1.5,Good,3,VS,59.0,58.0,11294,7.41,7.45,4.38
0.43,Good,5,SI,63.6,55.0,858,4.83,4.8,3.06
1.0,Good,4,VS,62.5,57.0,5592,6.34,6.42,3.99
1.2,Good,6,SI,63.5,55.0,5913,6.7,6.78,4.28
0.31,Good,3,VS,63.3,57.0,583,4.28,4.31,2.72
1.27,Good,0,VS,63.4,60.0,5588,6.8,6.85,4.33
0.51,Good,5,SI,57.4,62.0,1266,5.24,5.29,3.02
0.61,Good,3,VS,61.2,62.8,1821,5.38,5.42,3.3
0.41,Good,5,VS,58.4,58.0,917,4.88,4.91,2.86
0.3,Good,3,VVS,63.5,54.0,684,4.25,4.26,2.7
0.9,Good,1,VS,62.5,59.0,3398,6.06,6.13,3.81
0.71,Good,1,VVS,63.1,58.0,2428,5.64,5.71,3.58
1.01,Good,5,VS,63.9,59.0,6968,6.34,6.31,4.04
0.83,Good,5,SI,63.7,59.0,3250,5.95,5.89,3.77
0.51,Good,4,SI,63.6,58.0,1308,5.05,5.08,3.22
