invoice_id,order_date,customer_id,branch,city,customer_type,gender,product_line,unit_price,quantity,payment,gross_margin_ratio
765-26-6951,01/01/19,12,A,Jakarta,Normal,Male,Sports and travel,508270.0,6,Credit card,4.761904762
530-90-9855,01/01/19,54,A,Jakarta,Member,Male,Home and lifestyle,333130.0,8,Cash,4.761904762
891-01-7034,01/01/19,115,B,Bekasi,Normal,Female,Electronic accessories,522969.99999999994,6,Cash,4.761904762
493-65-6248,01/01/19,237,C,Bogor,Member,Female,Sports and travel,258859.99999999997,10,Credit card,4.761904762
556-97-7101,01/01/19,187,C,Bogor,Normal,Female,Electronic accessories,442540.0,2,Cash,4.761904762
133-14-7229,01/01/19,177,C,Bogor,Normal,Male,Health and beauty,440090.0,2,Cash,4.761904762
651-88-7328,01/01/19,22,A,Jakarta,Normal,Female,Fashion accessories,460179.99999999994,9,Cash,4.761904762
182-52-7000,01/01/19,80,A,Jakarta,Member,Female,Sports and travel,189280.0,4,Ewallet,4.761904762
416-17-9926,01/01/19,63,A,Jakarta,Member,Female,Electronic accessories,519540.0,10,Credit card,4.761904762
271-77-8740,01/01/19,225,C,Bogor,Member,Female,Sports and travel,204540.0,6,Ewallet,4.761904762
770-42-8960,01/01/19,92,B,Bekasi,Normal,Male,Food and beverages,147840.0,8,Cash,4.761904762
746-04-1077,01/01/19,159,B,Bekasi,Member,Female,Food and beverages,592410.0,10,Credit card,4.761904762
530-90-9855,01/01/19,46,A,Jakarta,Member,Male,Home and lifestyle,333130.0,8,Cash,4.761904762
891-01-7034,01/01/19,118,B,Bekasi,Normal,Female,Electronic accessories,522969.99999999994,6,Cash,4.761904762
493-65-6248,01/01/19,238,C,Bogor,Member,Female,Sports and travel,258859.99999999997,10,Credit card,4.761904762
556-97-7101,01/01/19,187,C,Bogor,Normal,Female,Electronic accessories,442540.0,2,Cash,4.761904762
133-14-7229,01/01/19,177,C,Bogor,Normal,Male,Health and beauty,440090.0,2,Cash,4.761904762
651-88-7328,01/01/19,38,A,Jakarta,Normal,Female,Fashion accessories,460179.99999999994,9,Cash,4.761904762
182-52-7000,01/01/19,72,A,Jakarta,Member,Female,Sports and travel,189280.0,4,Ewallet,4.761904762
416-17-9926,01/01/19,74,A,Jakarta,Member,Female,Electronic accessories,519540.0,10,Credit card,4.761904762
271-77-8740,01/01/19,223,C,Bogor,Member,Female,Sports and travel,204540.0,6,Ewallet,4.761904762
770-42-8960,01/01/19,81,B,Bekasi,Normal,Male,Food and beverages,147840.0,8,Cash,4.761904762
746-04-1077,01/01/19,142,B,Bekasi,Member,Female,Food and beverages,592410.0,10,Credit card,4.761904762
504-35-8843,01/02/19,19,A,Jakarta,Normal,Male,Sports and travel,297290.0,1,Cash,4.761904762
446-47-6729,01/02/19,179,C,Bogor,Normal,Male,Fashion accessories,698740.0,2,Credit card,4.761904762
244-08-0162,01/02/19,117,B,Bekasi,Normal,Female,Health and beauty,239470.0,10,Cash,4.761904762
198-84-7132,01/02/19,125,B,Bekasi,Member,Male,Fashion accessories,284270.0,9,Cash,4.761904762
744-09-5786,01/02/19,92,B,Bekasi,Normal,Male,Electronic accessories,154070.0,6,Cash,4.761904762
712-39-0363,01/02/19,53,A,Jakarta,Member,Male,Food and beverages,291620.0,6,Ewallet,4.761904762
345-68-9016,01/02/19,222,C,Bogor,Member,Female,Sports and travel,221690.0,8,Credit card,4.761904762
