"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2022-07-01,"so long nerds","Technoblade","Gaming",2022-07-01 01:29:02,16846983,3253577,0,572010,FALSE,FALSE,FALSE,1,"12am to 8am","Friday","0"
2022-07-01,"Usher: Tiny Desk Concert","NPR Music","Music",2022-06-30 16:00:10,1157118,92134,0,7592,FALSE,FALSE,FALSE,16,"3pm to 12am","Thursday","1"
2022-07-01,"I Delivered a Penny to MrBeast!","Ryan Trahan","Entertainment",2022-06-30 14:00:38,6528267,648436,0,75201,FALSE,FALSE,FALSE,14,"8am to 3pm","Thursday","1"
2022-07-01,"Cardi B - Hot Shit feat. Kanye West & Lil Durk [Official Audio]","Cardi B","Music",2022-07-01 04:00:15,348851,51411,0,6811,FALSE,FALSE,FALSE,4,"12am to 8am","Friday","0"
2022-07-01,"Fivio Foreign, Queen Naija - What's My Name (Official Video) ft. Coi Leray","FivioForeignVEVO","Music",2022-06-30 16:00:13,482194,43953,0,2135,FALSE,FALSE,FALSE,16,"3pm to 12am","Thursday","1"
2022-07-01,"The Sims 4 High School Years: Official Reveal Trailer","The Sims","Gaming",2022-06-30 15:00:12,863639,89547,0,7056,FALSE,FALSE,FALSE,15,"8am to 3pm","Thursday","1"
2022-07-01,"No one can stop me from buying weird ads (not even you)","Drew Gooden","Comedy",2022-06-29 18:03:14,1800522,152049,0,9724,FALSE,FALSE,FALSE,18,"3pm to 12am","Wednesday","2"
2022-07-01,"100 Kills = $500,000 Challenge!","MrBeast Gaming","Gaming",2022-06-29 17:30:08,4726069,250088,0,12864,FALSE,FALSE,FALSE,17,"3pm to 12am","Wednesday","2"
2022-07-01,"Five Nights At Freddy's SB Song - This Comes From Inside - The Living Tombstone","The Living Tombstone","Music",2022-06-30 17:00:11,744652,126774,0,11237,FALSE,FALSE,FALSE,17,"3pm to 12am","Thursday","1"
2022-07-01,"The Riddle That Seems Impossible Even If You Know The Answer","Veritasium","Education",2022-06-30 12:20:58,1203832,85248,0,8245,FALSE,FALSE,FALSE,12,"8am to 3pm","Thursday","1"
2022-07-01,"Minecraft, but if I say die then I die","KohlPowered","Gaming",2022-06-30 12:30:19,362274,10014,0,763,FALSE,FALSE,FALSE,12,"8am to 3pm","Thursday","1"
2022-07-01,"Gucci Mane - All Dz Chainz (feat. Lil Baby) [Official Music Video]","Gucci Mane","Music",2022-06-29 16:00:36,903728,47699,0,3928,FALSE,FALSE,FALSE,16,"3pm to 12am","Wednesday","2"
2022-07-01,"How The Supreme Court Killed Roe v. Wade","LegalEagle","Education",2022-06-30 00:21:32,817872,43451,0,10602,FALSE,FALSE,FALSE,0,"12am to 8am","Thursday","1"
2022-07-01,"Papua New Guinea v Fiji | Match Highlights | Pacific Test, 2022","NRL - National Rugby League","Sports",2022-06-25 12:22:08,335282,2871,0,552,FALSE,FALSE,FALSE,12,"8am to 3pm","Saturday","6"
2022-07-01,"Busting a 1000 MYTHS in 72 HOURS!","Keeley","Entertainment",2022-06-29 19:00:23,601036,12738,0,820,FALSE,FALSE,FALSE,19,"3pm to 12am","Wednesday","2"
2022-07-01,"I Built Ryan Trahan The MrBeast Penny!","Tyler Blanchard","Entertainment",2022-06-30 14:03:00,401146,27734,0,1328,FALSE,FALSE,FALSE,14,"8am to 3pm","Thursday","1"
2022-07-01,"I Installed a 1000HP LS Engine in my Ford Ranger","Westen Champlin","Autos and Vehicles",2022-06-29 19:30:14,1039316,55067,0,2189,FALSE,FALSE,FALSE,19,"3pm to 12am","Wednesday","2"
2022-07-01,"Ticket to Paradise | Official Trailer [HD]","Universal Pictures","Entertainment",2022-06-29 15:00:15,5477011,7458,0,912,FALSE,FALSE,FALSE,15,"8am to 3pm","Wednesday","2"
