"year","n2o_emission"
1970,51908.88
1971,49004.8
1972,79261.42
1973,56928.71
1974,50997.79
1975,50922.15
1976,60935.15
1977,84758.03
1978,61590.8
1979,75297.76
1980,78035.68
1981,73040.03
1982,200350.83
1983,103566.35
1984,79821.59
1985,81516.05
1986,107260.93
1987,152255.26
1988,81369.11
1989,81111.81
1990,100555.01
1991,169834.12
1992,160834.51
1993,108586.18
1994,159513.29
1995,100091.87
1996,99657.25
1997,369901.3
1998,144254.16
1999,98102.6
2000,94932.85
2001,96600.65
2002,151117.87
2003,103095.15
2004,120281.55
2005,162715.59
2006,243198.72
2007,98407.02
2008,97405.72
2009,134060.43
2010,91312.67
2011,92225.7967
2012,93138.9234
