"age","distance_to_mrt","num_conv_store","price"
7.1,451.2438,5,1
8.5,104.8101,5,1
11.8,533.4762,4,1
6.4,90.45606,9,1
13.2,150.9347,7,1
9.1,1402.016,0,1
0,274.0144,1,1
2.6,533.4762,4,1
16.9,4066.587,0,0
38.2,552.4371,2,0
30.8,377.7956,6,0
3.1,577.9615,6,1
6.6,90.45606,9,1
31.3,1758.406,1,0
13.6,4082.015,0,0
31.9,1146.329,0,0
10.5,279.1726,7,1
13,492.2313,5,1
16.5,323.655,6,1
17.5,995.7554,0,0
11,1931.207,2,0
18,1414.837,1,0
1.8,1455.798,1,0
16.9,368.1363,8,1
25.3,2707.392,3,0
1,193.5845,6,1
23,3947.945,0,0
30.4,464.223,6,0
10.4,276.449,5,0
1.5,23.38284,7,1
7.1,2175.03,3,0
34.5,623.4731,7,1
28.4,617.4424,3,0
35.7,579.2083,2,1
6.8,379.5575,10,1
21.7,512.5487,4,1
20.6,2469.645,4,0
24.2,4605.749,0,0
2.7,533.4762,4,1
13.3,561.9845,5,1
19.5,306.5947,9,1
5.3,259.6607,6,1
35.5,640.7391,3,1
0,292.9978,6,1
32,84.87882,10,0
13.3,336.0532,5,1
16.1,289.3248,5,1
32.1,1438.579,3,0
34.8,405.2134,1,1
34.4,512.7871,6,0
12.3,1360.139,1,0
8,104.8101,5,1
31.7,1160.632,0,0
15.4,205.367,7,1
4.5,2275.877,3,0
5,390.5684,5,1
13.3,561.9845,5,1
35.9,640.7391,3,1
20.3,287.6025,6,1
31.7,5512.038,1,0
16.2,289.3248,5,1
13.9,4079.418,0,0
36.6,488.8193,8,1
3.5,56.47425,7,1
40.9,167.5989,5,1
12,1360.139,1,0
15.1,383.2805,7,1
29.3,1487.868,2,0
33.6,371.2495,8,1
39.6,480.6977,4,1
6.3,90.45606,9,1
13.3,492.2313,5,1
35.9,616.4004,3,0
37.9,488.5727,1,0
12.5,561.9845,5,1
29.4,4510.359,1,0
10.1,279.1726,7,1
20.5,2185.128,3,0
17.7,350.8515,1,0
14.7,1360.139,1,0
17.2,2175.877,3,0
14.7,1935.009,2,0
16.8,4066.587,0,0
36.1,519.4617,5,0
29.6,769.4034,7,0
25.9,4519.69,0,0
13.8,4082.015,0,0
3.1,383.8624,5,1
19.2,557.478,4,1
40.1,123.7429,8,1
21.7,463.9623,9,1
0,338.9679,9,1
8.9,1406.43,0,1
6.4,90.45606,9,1
16.4,289.3248,5,1
30.3,4510.359,1,0
13.2,1164.838,4,0
17.9,1783.18,3,0
20.4,2469.645,4,0
32.5,424.5442,8,0
