EmployeeId,Education,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,Status
I1-84894,Bachelors,Bangalore,3,34,Male,No,0,Left
I3-14270,Bachelors,Pune,1,28,Female,No,3,Active
I2-66215,Bachelors,New Delhi,3,38,Female,No,2,Left
I1-73250,Masters,Bangalore,3,27,Male,No,5,Active
I3-85771,Masters,Pune,3,24,Male,Yes,2,Active
I1-11944,Bachelors,Bangalore,3,22,Male,No,0,Left
I2-37013,Bachelors,New Delhi,3,38,Male,No,0,Left
I1-70631,Bachelors,Bangalore,3,34,Female,No,2,Active
I3-74395,Bachelors,Pune,3,23,Male,No,1,Left
I2-46375,Masters,New Delhi,2,37,Male,No,2,Left
I1-95651,Masters,Bangalore,3,27,Male,No,5,Active
I3-31001,Bachelors,Pune,3,34,Male,No,3,Left
I3-14509,Bachelors,Pune,3,32,Male,Yes,5,Active
I1-78245,Bachelors,Bangalore,3,39,Male,No,2,Left
I1-74236,Bachelors,Bangalore,3,37,Male,No,4,Left
I1-52961,Bachelors,Bangalore,1,29,Male,No,3,Left
I1-19973,Bachelors,Bangalore,3,34,Female,No,2,Left
I3-42767,Bachelors,Pune,3,34,Male,No,4,Left
I3-57337,Bachelors,Pune,2,30,Female,No,0,Active
I2-15840,Bachelors,New Delhi,2,22,Female,No,0,Active
I1-65102,Bachelors,Bangalore,3,37,Male,No,0,Left
I2-28178,Masters,New Delhi,2,28,Male,No,4,Left
I2-89061,Bachelors,New Delhi,2,36,Male,No,3,Left
I1-56541,Bachelors,Bangalore,3,27,Male,Yes,5,Left
I1-60017,Bachelors,Bangalore,3,29,Male,No,4,Left
I1-65215,Bachelors,Bangalore,3,22,Female,Yes,0,Left
I1-47174,Bachelors,Bangalore,3,37,Male,No,2,Left
I1-98468,Bachelors,Bangalore,3,23,Male,No,1,Left
I3-44382,Bachelors,Pune,2,31,Female,No,2,Active
I2-69877,Masters,New Delhi,2,30,Female,No,2,Left
I2-32894,PHD,New Delhi,3,25,Male,No,3,Left
I1-99897,Bachelors,Bangalore,3,23,Male,No,1,Left
I1-49728,Bachelors,Bangalore,3,26,Male,No,4,Active
I1-96749,Bachelors,Bangalore,3,40,Male,No,5,Left
I3-57525,Bachelors,Pune,2,37,Female,No,0,Active
I1-27429,Bachelors,Bangalore,1,30,Female,No,3,Left
I2-69890,Bachelors,New Delhi,3,29,Male,No,3,Left
I2-41376,Bachelors,New Delhi,2,34,Female,No,0,Active
I3-67625,Bachelors,Pune,2,29,Female,No,2,Active
I3-90389,Bachelors,Pune,3,30,Male,Yes,4,Left
I1-59183,Bachelors,Bangalore,3,36,Male,No,1,Left
I2-15801,Masters,New Delhi,2,23,Male,No,1,Left
I1-86406,Bachelors,Bangalore,3,30,Male,No,3,Active
I1-10531,Bachelors,Bangalore,3,36,Male,No,0,Left
I3-40887,Bachelors,Pune,3,39,Male,No,4,Left
I1-27560,Bachelors,Bangalore,3,23,Female,No,1,Left
I2-35552,PHD,New Delhi,3,27,Male,No,5,Left
I2-49696,Masters,New Delhi,3,35,Male,No,2,Left
I2-80299,Masters,New Delhi,2,34,Male,No,0,Left
I1-57991,Bachelors,Bangalore,3,30,Female,No,1,Left
I2-41481,PHD,New Delhi,3,34,Male,No,2,Left
I3-51204,Bachelors,Pune,2,26,Female,No,4,Active
I1-97384,Bachelors,Bangalore,3,34,Female,No,0,Left
I1-81956,Bachelors,Bangalore,3,31,Female,Yes,5,Left
I2-69064,Bachelors,New Delhi,3,31,Female,Yes,5,Left
I2-67151,PHD,New Delhi,3,28,Male,No,2,Left
I1-71600,Bachelors,Bangalore,3,38,Male,No,2,Left
I3-18518,Masters,Pune,3,39,Female,No,2,Left
I3-95587,Bachelors,Pune,3,32,Male,No,4,Left
I3-86617,Masters,Pune,2,36,Male,No,2,Active
I2-52557,Masters,New Delhi,3,29,Male,No,3,Left
